ANO;LOCALIDAD_MADRE;EDAD_MADRE;SEXO;REGIMEN_SEGURIDAD;total
2009;Antonio Nariño;38;MASCULINO;CONTRIBUTIVO;2
2009;Antonio Nariño;38;MASCULINO;SUBSIDIADO;2
2009;Antonio Nariño;39;FEMENINO;CONTRIBUTIVO;8
2009;Antonio Nariño;39;FEMENINO;SUBSIDIADO;2
2009;Antonio Nariño;39;MASCULINO;CONTRIBUTIVO;8
2009;Antonio Nariño;39;MASCULINO;SUBSIDIADO;1
2009;Antonio Nariño;40;FEMENINO;CONTRIBUTIVO;3
2009;Antonio Nariño;40;FEMENINO;NO ASEGURADO;1
2009;Antonio Nariño;40;MASCULINO;CONTRIBUTIVO;2
2009;Antonio Nariño;40;MASCULINO;NO ASEGURADO;1
2009;Antonio Nariño;41;FEMENINO;CONTRIBUTIVO;7
2009;Antonio Nariño;41;FEMENINO;NO ASEGURADO;1
2009;Antonio Nariño;41;MASCULINO;CONTRIBUTIVO;2
2009;Antonio Nariño;42;FEMENINO;CONTRIBUTIVO;2
2009;Antonio Nariño;42;FEMENINO;NO ASEGURADO;2
2009;Antonio Nariño;42;MASCULINO;CONTRIBUTIVO;1
2009;Antonio Nariño;43;FEMENINO;CONTRIBUTIVO;2
2009;Antonio Nariño;43;FEMENINO;SUBSIDIADO;1
2009;Antonio Nariño;43;MASCULINO;CONTRIBUTIVO;1
2009;Antonio Nariño;44;FEMENINO;SIN INFORMACION;1
2009;Antonio Nariño;44;MASCULINO;CONTRIBUTIVO;1
2009;Antonio Nariño;47;MASCULINO;NO ASEGURADO;1
2009;Barrios Unidos;;FEMENINO;CONTRIBUTIVO;2
2009;Barrios Unidos;12;MASCULINO;NO ASEGURADO;1
2009;Barrios Unidos;14;MASCULINO;CONTRIBUTIVO;1
2009;Barrios Unidos;14;MASCULINO;SUBSIDIADO;2
2009;Barrios Unidos;15;FEMENINO;CONTRIBUTIVO;4
2009;Barrios Unidos;15;FEMENINO;NO ASEGURADO;1
2009;Barrios Unidos;15;FEMENINO;SUBSIDIADO;2
2009;Barrios Unidos;15;MASCULINO;CONTRIBUTIVO;3
2009;Barrios Unidos;15;MASCULINO;NO ASEGURADO;2
2009;Barrios Unidos;15;MASCULINO;SUBSIDIADO;2
2009;Barrios Unidos;16;FEMENINO;CONTRIBUTIVO;13
2009;Barrios Unidos;16;FEMENINO;EXCEPCION;1
2009;Barrios Unidos;16;FEMENINO;NO ASEGURADO;2
2009;Barrios Unidos;16;FEMENINO;SUBSIDIADO;2
2009;Barrios Unidos;16;MASCULINO;CONTRIBUTIVO;5
2009;Barrios Unidos;16;MASCULINO;NO ASEGURADO;4
2009;Barrios Unidos;16;MASCULINO;SUBSIDIADO;6
2009;Barrios Unidos;17;FEMENINO;CONTRIBUTIVO;15
2009;Barrios Unidos;17;FEMENINO;EXCEPCION;1
2009;Barrios Unidos;17;FEMENINO;NO ASEGURADO;5
